url,lastmod,status,title,title_length,description_length,h1,word_count,canonical,robots,json_ld_blocks,internal_links,max_same_family_similarity_pct
https://oiltankroute.com/states/maine/sweep-and-locate/,2026-04-13,200,Maine oil tank sweep and locate steps before closing | Buried Oil Tank Verdict,78,72,Maine oil tank sweep and locate steps before closing,1247,https://oiltankroute.com/states/maine/sweep-and-locate/,,2,16,70.7
https://oiltankroute.com/states/new-jersey/,2026-04-13,200,New Jersey buried oil tank disclosure and next steps | Buried Oil Tank Verdict,78,111,New Jersey buried oil tank next steps before closing,1325,https://oiltankroute.com/states/new-jersey/,,2,15,
https://oiltankroute.com/states/new-jersey/buyer-seller/,2026-04-13,200,New Jersey buried oil tank disclosure steps for buyers and sellers | Buried Oil Tank Verdict,92,112,New Jersey buried oil tank disclosure steps for buyers and sellers,1258,https://oiltankroute.com/states/new-jersey/buyer-seller/,,2,16,74.1
https://oiltankroute.com/states/new-jersey/records-and-proof/,2026-04-13,200,New Jersey abandoned oil tank records and proof | Buried Oil Tank Verdict,73,91,New Jersey abandoned oil tank records and proof,1205,https://oiltankroute.com/states/new-jersey/records-and-proof/,,2,16,69.9
https://oiltankroute.com/states/new-jersey/sweep-and-locate/,2026-04-13,200,New Jersey oil tank sweep and locate steps before closing | Buried Oil Tank Verdict,83,77,New Jersey oil tank sweep and locate steps before closing,1281,https://oiltankroute.com/states/new-jersey/sweep-and-locate/,,2,16,74.0
https://oiltankroute.com/states/new-york/,2026-04-13,200,New York buried oil tank disclosure and next steps | Buried Oil Tank Verdict,76,109,New York buried oil tank next steps before closing,1333,https://oiltankroute.com/states/new-york/,,2,15,
https://oiltankroute.com/states/new-york/buyer-seller/,2026-04-13,200,New York buried oil tank disclosure steps for buyers and sellers | Buried Oil Tank Verdict,90,110,New York buried oil tank disclosure steps for buyers and sellers,1259,https://oiltankroute.com/states/new-york/buyer-seller/,,2,16,68.2
https://oiltankroute.com/states/new-york/records-and-proof/,2026-04-13,200,New York abandoned oil tank records and proof | Buried Oil Tank Verdict,71,89,New York abandoned oil tank records and proof,1220,https://oiltankroute.com/states/new-york/records-and-proof/,,2,16,64.8
https://oiltankroute.com/states/new-york/sweep-and-locate/,2026-04-13,200,New York oil tank sweep and locate steps before closing | Buried Oil Tank Verdict,81,75,New York oil tank sweep and locate steps before closing,1275,https://oiltankroute.com/states/new-york/sweep-and-locate/,,2,16,67.9
https://oiltankroute.com/terms/,2026-04-13,200,Terms | Buried Oil Tank Verdict,31,79,Terms,119,https://oiltankroute.com/terms/,,2,11,
